    mean_fit_time  std_fit_time  mean_score_time  std_score_time param_batch_size param_epochs param_optimizer                                                    params  split0_test_score  split1_test_score  split2_test_score  split3_test_score  split4_test_score  mean_test_score  std_test_score  rank_test_score  split0_train_score  split1_train_score  split2_train_score  split3_train_score  split4_train_score  mean_train_score  std_train_score
27    1498.324360      6.347076        12.624086        0.983813               32           10             SGD      {'batch_size': 32, 'epochs': 10, 'optimizer': 'SGD'}             0.9885             0.9865             0.9850             0.9870             0.9855           0.9865        0.001225               23            1.000000            1.000000            1.000000            1.000000            1.000000          1.000000         0.000000
43   14544.738139      5.321115        11.194064        0.590783               64           20             SGD      {'batch_size': 64, 'epochs': 20, 'optimizer': 'SGD'}             0.9895             0.9860             0.9825             0.9865             0.9860           0.9861        0.002223               24            1.000000            1.000000            1.000000            1.000000            1.000000          1.000000         0.000000
17    3165.994304     25.751220        12.824632        0.665729               16           20            adam     {'batch_size': 16, 'epochs': 20, 'optimizer': 'adam'}             0.9865             0.9845             0.9870             0.9875             0.9845           0.9860        0.001265               25            0.998625            0.995000            0.998000            0.997625            0.999000          0.997650         0.001408
40    2900.303991     13.498492        11.550449        1.110384               64           20         rmsprop  {'batch_size': 64, 'epochs': 20, 'optimizer': 'rmsprop'}             0.9850             0.9840             0.9875             0.9855             0.9855           0.9855        0.001140               26            0.997625            0.998625            0.999250            0.998625            0.997625          0.998350         0.000634
36    1499.070108      8.816957        11.708468        0.356712               64           10         rmsprop  {'batch_size': 64, 'epochs': 10, 'optimizer': 'rmsprop'}             0.9845             0.9895             0.9855             0.9810             0.9865           0.9854        0.002764               27            0.995250            0.998000            0.998500            0.995625            0.999375          0.997350         0.001627
5     3375.718405     53.240838        14.649041        4.148098                8           20            adam      {'batch_size': 8, 'epochs': 20, 'optimizer': 'adam'}             0.9850             0.9820             0.9890             0.9850             0.9830           0.9848        0.002400               28            0.997625            0.996625            0.997875            0.995125            0.994375          0.996325         0.001373
41    7546.854102   5711.093104        11.626022        1.007797               64           20            adam     {'batch_size': 64, 'epochs': 20, 'optimizer': 'adam'}             0.9885             0.9850             0.9790             0.9855             0.9850           0.9846        0.003089               29            0.997500            0.997625            0.991125            0.992875            0.999625          0.995750         0.003202
39    1425.245966      8.855377        11.456298        0.749997               64           10             SGD      {'batch_size': 64, 'epochs': 10, 'optimizer': 'SGD'}             0.9820             0.9850             0.9815             0.9875             0.9865           0.9845        0.002387               30            1.000000            1.000000            1.000000            1.000000            1.000000          1.000000         0.000000
0     1724.598849      8.650772        12.990510        0.495533                8           10         rmsprop   {'batch_size': 8, 'epochs': 10, 'optimizer': 'rmsprop'}             0.9845             0.9795             0.9865             0.9845             0.9870           0.9844        0.002653               31            0.997375            0.997375            0.997750            0.996250            0.999250          0.997600         0.000966
29    3035.412411     15.290047        11.899685        0.302658               32           20            adam     {'batch_size': 32, 'epochs': 20, 'optimizer': 'adam'}             0.9905             0.9880             0.9860             0.9790             0.9770           0.9841        0.005219               32            0.999125            0.999875            0.996000            0.988500            0.991125          0.994925         0.004450
